pChEMBL Value,Canomicalsmiles
8.27,Cc1cc(O)c(-c2ccc([C@@H](C)CN)cc2)c2c1[nH]c(=O)c1c(O)cccc12
7.89,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(=O)c1ccccc1Br)CC2
4.77,COc1ccc(/C=N/c2c(C#N)ncn2-c2ccc(F)cc2)cc1
4.34,O=C1NC(=S)N/C1=C1\C(=O)Nc2ccccc21
4.43,O=C(NCc1ccc(O)cc1)Nc1ccc(C(F)(F)F)cc1
4.57,COc1cc2c(cc1OC)CN(S(=O)(=O)c1ccc(-n3cc(COc4ccccc4C)nn3)cc1)CC2
5.95,CN(C)Cc1cn2c(-c3c[nH]c4ccccc34)cc(-c3ccc(F)cc3F)c(C#N)c2n1
4.46,CC(C)=CCc1c(O)cc(O)c2c1O[C@@]13C(=C[C@H]4C(=O)C1(CC=C(C)C)OC(=O)[C@@H]3[C@H]4C)C2=O
5.1,COCOCc1cc2c(cc1-c1cc3ccccc3c(=O)[nH]1)OCO2
5.08,CCn1c2ccccc2c2cc(/C=C/C(=O)c3ccc(C)cc3F)ccc21
6.7,COc1ccc2c(N(CCF)c3cc(OC)c(OC)c(OC)c3)n[nH]c2n1
4.54,CN(C)C/C=C/C(=O)Nc1cccc(Nc2nc(N/N=C/c3c[nH]c4ccccc34)ncc2Cl)c1
5.41,C#Cc1cccc(Nc2ncnc3ccc(NC(=S)NCCc4ccc(S(N)(=O)=O)cc4)cc23)c1
5.41,COc1cc(/C=C(\C)C(=O)N2CCC=C(Cl)C2=O)cc(OC)c1OC
4.92,CC(C)[S+]([O-])CCCCCCN=C=S
5.27,CC(C)C(=O)c1cc([C@@H]2CC[C@]3(C)C4=CCC5C(C)(C)[C@H](O)CC[C@]5(C)[C@H]4CC[C@@]23C)c[nH]1
4.37,CC1(C)CCC[C@]2(C)[C@@H](CC[C@@](C)(O)/C=C/c3ccc(Br)cc3)[C@](C)(O)CC[C@@H]12
5.49,Cc1cc(=O)oc2cc(Sc3cccc(Cl)n3)ccc12
5.38,C=C1C(=O)[C@@]23[C@@H]4C[C@@H]5C(C)(C)CCC[C@@]5([C@@H](OCC)O4)[C@@H]2[C@@H](O)C[C@@H]1[C@H]3O
6.4,O=C(N/N=C1\CCc2c(Cl)ccc(O)c21)c1cccc(S(=O)(=O)N2CCOCC2)c1
5.54,CCCCCCCCCCCCCCNC[C@@H]1OC[C@H](N)[C@@H]1O
4.01,Cc1ccc2oc3c(c(=O)c2c1)CC[C@@H]1[C@H]2CCCN4CCC[C@@H](CN31)[C@@H]24
5.29,Cc1ccc(-c2cnn(-c3ccc4c5c(cccc35)C(=O)N(CCN(C)C)C4=O)c2)cc1
6.19,O=C1C(=O)c2ccccc2C2=C1C(c1ccc(Cl)c(O)c1)NC(=S)N2
5.37,COc1cccc(-c2cccc(NC(=O)C(Cl)Cl)c2)c1
