pChEMBL Value,Canomicalsmiles
1.0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
0.0,COc1ccc(-c2nc3ccccn3c2C(=O)/C=C\Nc2ccc(F)cc2)cc1
0.0,COc1cc(N(Cc2cn(C)c3ccc(Br)cc23)C(=O)Cn2cccn2)cc(OC)c1OC
0.0,CC(C)[C@H](O)C(=O)N[C@H]1Cc2ccc3c(c2)[C@](c2ccccc2)(C(=O)N3)c2oc(nc2-c2nc(CO)co2)[C@H](C(C)(C)C)NC1=O
0.0,CC(C)c1ccccc1OS(=O)(=O)c1ccc(N2CC(=O)NC2=O)cc1
1.0,COc1ccc([C@H]2[C@H](CO)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,COc1ccc(/C=C/c2cc(Nc3ccccc3Oc3ccccc3)c3c(OC)c(OC)c(OC)cc3n2)cc1OC
1.0,O=C(Nc1cccc(Nc2nc(Nc3cccc(C(F)(F)F)c3)nc3ccccc23)c1)C1CC1
0.0,Clc1ccccc1-c1nc2n(n1)CCS2
1.0,CCn1c2ccccc2c2cc(C(O)c3cccc4ncccc34)ccc21
0.0,Cc1cccc(C(=O)n2ccc3cc(CNC(=O)Cc4ccc(F)cc4)ccc32)c1
0.0,COc1cc(-c2nccn2-c2ccc(Br)cc2)cc(OC)c1OC
0.0,O=C(NNC(=O)c1c[nH]c2ccccc12)c1cc(-c2ccc(I)cc2)n(-c2ccc(F)cc2)n1
0.0,O=C(/C=C/c1cn(-c2ccccc2)nc1-c1ccc(OCc2ccccc2)cc1)c1ccc(Cl)cc1Cl
0.0,COc1cc(C(=O)Nc2nnc(SCCCCOc3c(OC)ccc4c3C(=O)O[C@@H]4[C@H]3c4c(cc5c(c4OC)OCO5)CCN3C)s2)cc(OC)c1OC
0.0,COc1ccc(C(=O)c2ccc(Br)cc2)cc1O
1.0,COc1cc(C(=O)/C(C)=C/c2ccc3c(ccn3C)c2)cc(OC)n1
1.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
1.0,O=C(NCCCNc1cc(Nc2cccc(C(F)(F)F)c2)ncn1)C1CC1
0.0,COc1cc(/C=C/C(=O)N2CCN(c3cc(Sc4nc5cc(OC(F)F)ccc5[nH]4)nc(N)n3)CC2)cc(OC)c1OC
0.0,O=C(Nc1ccc(OC(F)F)cc1)Nc1cccc(CNc2cnc3cc(F)c(F)cc3n2)c1
1.0,CCN(c1cc(OC)c(OC)cc1Br)S(=O)(=O)c1ccc(OC)cc1
0.0,CC(C)[C@H](O)C(=O)N[C@H]1Cc2ccc3c(c2)[C@](c2ccccc2)(C(=O)N3)c2oc(nc2-c2nc(CO)co2)[C@H](C(C)(C)C)NC1=O
0.0,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1
1.0,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@@H](OC(=O)N(C)CCN(C)C(=O)OCc3ccc(NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](NC(=O)CCCCCN4C(=O)C=CC4=O)C(C)C)cc3)[C@@H](Cl)c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)C(C)(C)CNC2=O)cc1Cl
0.0,COc1ccc(NS(=O)(=O)c2ccc(N3CCCC3=O)cc2)cc1
0.0,COC(=O)NCCc1c(C(=O)c2ccc(OC)cc2F)[nH]c2ccccc12
1.0,CCn1c(CN2c3ccccc3Sc3ccccc32)nnc1SCC(C)=O
0.0,CCCC[C@H](OC(C)=O)[C@@H](O)[C@H](O)[C@@H]1OC(=O)C=C[C@@H]1OC(C)=O
0.0,Cc1cc(C)cc(NC(=O)Nc2cccc(CNc3cnc4ccccc4n3)c2)c1
0.0,COc1ccc(C2=NN(CCC(N)=O)C(=O)N(c3ccccc3)C2)cc1
1.0,CCOP(=O)(OCC)C(Nc1ccc(CC(=O)Oc2cc(/C=C\c3cc(OC)c(OC)c(OC)c3)ccc2OC)cc1)c1ccc(OC)c(O)c1
1.0,COc1cc(C2C(C#N)=C(N)Oc3cc4c(cc32)OCCN4)cc(Br)c1OC
0.0,O=C1NC(=NCc2ccccc2Cl)SC1=Cc1c[nH]c2ccccc12
1.0,COc1cc(C(=O)c2cccc(-c3cccnc3)n2)cc(OC)c1OC
0.0,COc1cc(-n2cccc2-c2ccc(C)c(C)c2)cc(OC)c1OC
1.0,O=S(=O)(c1ccccc1)c1no[n+]([O-])c1S(=O)(=O)c1ccccc1
1.0,COc1ccc([C@@H]2[C@@H](Br)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1
0.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
1.0,COc1cccc(Nc2nc(Nc3cccc(NC(=O)C4CC4)c3)c3ccccc3n2)c1
0.0,COc1ccc(C(=O)Cn2cc(C=C3SC(=NCCc4ccc(OC)c(OC)c4)NC3=O)c3ccccc32)cc1
0.0,COc1ccc2[nH]cc(C=C3SC(=NCc4ccc(C(C)(C)C)cc4)NC3=O)c2c1
0.0,COc1ccc(/C=C/c2cc(Nc3ccc(OC)c(OC)c3)c3c(OC)c(OC)c(OC)cc3n2)cc1OC
0.0,COc1cc(-c2ccnc3nc(Nc4ccc(N(C)C)cc4)nn23)cc(OC)c1OC
1.0,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3C(=O)NC(=O)N23)OCCO4)cc(OC)c1OC
1.0,CCOP(=O)(OCC)C(Nc1ccc(CC(=O)Oc2cc(/C=C\c3cc(OC)c(OC)c(OC)c3)ccc2OC)cc1)c1ccccc1
1.0,O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1
